Device_Category,Title,Price,Condition,Item_URL
iPod Classic,iPod Classic 5th 6th 7th Generation 30GB 60GB 80GB 120GB 160GB All Colors,149.95,Used,https://www.ebay.com/itm/353854106847?_skw=iPod+Classic+160GB&hash=item5263592cdf:g:Yh4AAeSwSY9pNZ31
iPod Classic,Apple IPOD CLASSIC 7th Generation 160GB (MC297ll/a) MP3  - MINT Condition,324.95,Excellent - Refurbished,https://www.ebay.com/itm/176795221323?_skw=iPod+Classic+160GB&hash=item2929d0fd4b:g:-bcAAOSwqV9nirzZ&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbAmYGnlzcqz7onaLLTE8u8MC9mmsox27OTbHdx0X0WUrsIKft1XbVUYSBKMn4l9gDI364RVls1SIT9LRxHTXdUu5gweDm%2Fn%2Bl5%2BBSsJ2h58Lx23sZ%2BG19iqu6UDfLUfV2aBKH4%2BziqP3mk9obvh1jSRplAXNmWAFs29yzy%2B7AZEFKqvQp9%2BDIVneszx7iwAygZtWdK4IrBP1l%2FPqTR%2FdB2HPreGGoUM17fSYypGK5schfrkvTJR4goQ%2BeMluwdwvrNExd4WzaGOYe36hu6T4QXSEV3iZXYcWvr2OU5lxORkg%3D%3D
iPod Classic,Apple iPod Classic 6th 7th Generation (80GB 120GB 160GB) Excellent CONDITION MP3,299.95,Excellent - Refurbished,https://www.ebay.com/itm/174002371472?_skw=iPod+Classic+160GB&hash=item2883597b90:g:KWQAAOSwSgpdWrDc&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbWkEmMR6zcc29RolTcsdt4puviGdjXcoxc%2BBMnDFhcJiedTdTTkSJUYtVmBUTMLUCii1mxK3Sy3GCkJEJMZdEU4VPA%2F7VHtyfk3xsQ0347%2F7bWZcc8cAPoF51LVb%2Fpu4Dsn1vQuQx4YmagEFiZhPxicF7Kv3nrCLz2xtT1%2FqD%2Bv3B2rHT%2Fv2i6b4PEajyhduHGRqx3sBiOTZYYmqWYCr52gLWH7ZKdgCopVrUwJrCQWEJz19JKdDAwCmP0fjKf55iPLjoHuc9%2FE8QqGorWbUmJAQRRRkAyA1RLsEeMWAHL6g%3D%3D
iPod Classic,APPLE  iPOD CLASSIC 7TH GEN.  GREY...160GB...NEW BATTERY...,259.99,Used,https://www.ebay.com/itm/388161593960?_skw=iPod+Classic+160GB&hash=item5a603be268:g:WiIAAOSwvylbVLqC&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGb6cqsfsRWSutXP30efeCUesbQ2HvNd6LwgWVTS2NkkDVpvFtHTWcMVvgNbO0LEePKt1by%2BDllGRbacqko3We2qZOhxxAc7X%2Fvz7pUqqVi4DKHi%2BsFvFf5dDlnY557rL7bAwcFG%2BOHqe179YbwV9zYPDZhVqWsN0P0y2ZbpKuJPixRyebv7Ch1%2B%2FHa4ECsY0wAZDLQ30HxTz9VgD%2B2Nth2jW6DXxg57m%2FvKkSaqQMG0yNKpHTS5S5dvmhJwkAdV334jGJl4LrqghkX%2FhxCKC0mSPUBnFLnpRFY1Ch23FKo5AQ%3D%3D
iPod Classic,iPod Classic 5th 6th 7th Generation 30GB 60GB 80GB 120GB 160GB All Colors,199.99,Used,https://www.ebay.com/itm/126214130388?_skw=iPod+Classic+160GB&hash=item1d62f2cad4:g:oioAAOSwf4hlaLgi
iPod Classic,"Apple iPod Classic 5, 5.5, 6, & 7th Generation 30GB, 60GB, 80GB, 120GB, 160GB",149.99,Used,https://www.ebay.com/itm/296252706092?_skw=iPod+Classic+160GB&hash=item44fa098d2c:g:j9wAAOSwVcBl79TA
iPod Classic,NEW SEALED Apple iPod Classic 5th 6th 7th 160GB 256GB 1TB SSD New Battery MODDED,435.0,New,https://www.ebay.com/itm/317448652626?_skw=iPod+Classic+160GB&hash=item49e96a0752:g:H1YAAeSw87ZpUzkb
iPod Classic,New Sealed Apple iPod Classic 5th 6th 7th 30GB 120GB 160GB 256GB 1TB US STOCK,362.0,New,https://www.ebay.com/itm/397368959874?_skw=iPod+Classic+160GB&hash=item5c85092382:g:4SYAAeSwac5pOnBq
iPod Classic,✨New✨ Sealed Apple iPod Classic 5th 6th 7th 30GB 120GB 160GB 256GB 1TB,189.0,New,https://www.ebay.com/itm/137070365117?_skw=iPod+Classic+160GB&hash=item1fea07c9bd:g:bYYAAeSwi4VpPRF9
iPod Classic,"Apple iPod Classic 5th, 6th & 7th Generation 30GB, 60GB, 80GB, 120GB & 160GB",164.99,Used,https://www.ebay.com/itm/333839953342?_skw=iPod+Classic+160GB&hash=item4dba696dbe:g:ibMAAOSwFEhdnkcK
